worst,avg,best
24.0,27.30666666666667,66.0
24.0,27.704444444444444,65.0
24.0,29.02888888888889,65.0
24.0,29.593333333333334,113.0
19.0,26.23777777777778,161.0
24.0,33.791111111111114,113.0
19.0,37.28,113.0
19.0,54.00222222222222,256.0
25.0,63.82222222222222,303.0
20.0,90.12222222222222,303.0
20.0,76.13555555555556,303.0
19.0,91.46,303.0
24.0,114.29333333333334,445.0
24.0,166.23777777777778,589.0
20.0,186.44,589.0
19.0,183.39555555555555,589.0
19.0,190.60222222222225,589.0
20.0,208.19333333333333,731.0
25.0,263.1644444444444,589.0
20.0,290.71777777777777,731.0
